id,description,title
19846,"Unter Anderem vor dem Haus 1 auf dem Sana-Klinikum-Gelände wurden mehrere große und absolut gesunde Bäume gefällt. 
Ich würde gerne die Genehmigungen und Begründung dazu einsehen. 
Vielen Dank.",Baumfällungen auf dem Sana-Klinikum-Gelände in Lübeck
9545,"Das Projekt- & Informationsmanagementmodul besteht aus 3 Klausurteilen.
Bitte senden Sie mir alle als Datei zu bzw. veröffentlichen diese. Sie bestehen aus Folgenden Teilen:
-Informationsmanagement
-Projektmanagement
-Sicherheits-& Qualitätsmanagement

Vielen Dank im Voraus",Klausuren vom Projekt- & Informationsmanagementmodul (BF 410) Wintersemester 14/15
185231,"Antrag nach dem IFG

Sehr geehrte Damen und Herren, 
laut Medienbericht
https://www.welt.de/debatte/kommentare/plus207443923/Corona-Krise-Auf-Krieg-ist-der-Bundestag-vorbereitet-auf-eine-Seuche-nicht.html
hat es am 23. April 2020 ein Treffen der Fraktionsvorsitzenden mit dem Bundestagspräsidenten Wolfgang Schäuble zur Handlungsfähigkeit des Parlaments während der Coronakrise und der Wahlrechtsreform gegeben.

Ich bitte um die elektronische Zusendung des Protokolls.


Dies ist ein Antrag auf Zugang zu amtlichen Informationen nach § 1 des Gesetzes zur Regelung des Zugangs zu Informationen des Bundes (IFG).

Sollte der Informationszugang Ihres Erachtens gebührenpflichtig sein, möchte ich Sie bitten, mir dies vorab mitzuteilen und detailliert die zu erwartenden Kosten aufzuschlüsseln. Meines Erachtens handelt es sich um eine einfache Auskunft. Gebühren fallen somit  nach § 10 IFG bzw. den anderen Vorschriften nicht an. Auslagen dürfen nach BVerwG 7 C 6.15 nicht berechnet werden.

Ich verweise auf § 7 Abs. 5 IFG/§ 3 Abs. 3 Satz 2 Nr. 1 UIG/§ 4 Abs. 2 VIG und bitte Sie, mir die erbetenen Informationen so schnell wie möglich, spätestens nach Ablauf eines Monats zugänglich zu machen. Kann diese Frist nicht eingehalten werden, müssen Sie mich darüber innerhalb der Frist informieren.

Ich bitte Sie um eine Antwort per E-Mail gemäß § 1 Abs. 2 IFG. Ich widerspreche ausdrücklich der Weitergabe meiner Daten an Dritte. 

Ich möchte Sie um eine Empfangsbestätigung bitten und danke Ihnen für Ihre Mühe!

Mit freundlichen Grüßen",Treffen der Fraktionsvorsitzenden mit Wolfgang Schäuble (Protokoll vom 23. April 2020)
238041,"Die fachlichen Vorgaben des RKI (a) legen nach dem ""aktuellen Stand der medizinischen Wissenschaft"" fest, dass Menschen, die von einer SARS-CoV-2 Infektion genesen sind, ab dem Tag ihrer Infektion lediglich 90 Tage und nicht mehr 180 Tage vor einer erneuten SARS-CoV-2 Infektion geschützt sind. Als ""wissenschaftliche Begründung"" wird lediglich auf 3 Dokumente verwiesen:

Dokument 1) Neil Ferguson, Azra Ghani, Wes Hinsley and Erik Volz. Hospitalisation risk for Omicron cases in England. Imperial College London (22-12-2021) (b)
Das vom RKI ohne Quellenangabe benannte Dokument ist ein WHO-Bericht, der sich mit dem Hospitalisierungsrisiko für Omikron-Patienten in England beschäftigt und kommt zu dem Ergebnis, dass das Hospitalisierungsrisiko für Omikron signifikant geringer ist als bei den vorherigen Varianten. Das Dokument beschäftigt sich an keiner Stelle mit einem erhöhten Risiko für an SARS-CoV-2 Infektion Genese, sich erneut mit SARS-CoV-2 zu infizieren. Das Wort Genesen kommt in diesem Bericht nicht einmal vor!

Dokument 2) UK Health Security Agency: SARS-CoV-2 variants of concern and variants under investigation in England. Technical briefing 34 (c)
Das verlinkte Dokument ist keine wissenschaftliche Studie, sondern eine Linkliste der UK Health Security Agency. Dort sind diverse Technische Einweisung und zugrunde liegende Daten für das englische Gesundheitswesen verlinkt.
Dabei geht es zum Beispiel um die deutlich geringere Effektivität der bisherigen Impfung gegen SARS-CoV-2 bei Omikron oder das verminderte Risiko zur stationären Aufnahme bei Omikron.
Keines der in der Linkliste verlinkten Dokumente beschäftigt sich mit der Frage, ob es ein erhöhtes Risiko für an SARS-CoV-2 Infektion Genese gibt, sich erneut mit SARS-CoV-2 zu infizieren.

Dokument 3) Wissenschaftliche Begründung der STIKO für die Empfehlung zur Verkürzung des Impfabstands zwischen Grundimmunisierung bzw. Infektion und Auffrischimpfung auf einen Zeitraum ab 3 Monaten (d)
Das verlinkte Dokument ist keine wissenschaftliche Studie oder Abhandlung. Als ""Wissenschaftliche Begründung"" sind dort auf Seite 2 exakt 3 Sätze zu finden, die lediglich den geringen Schutz der Grundimpfung gegenüber der Omikron-Variante von SARS-CoV-2 beschreiben. Der Bericht erwähnt in keinem Zusammenhang mit einem erhöhten Risiko für an SARS-CoV-2 Infektion Genese, sich erneut mit SARS-CoV-2 zu infizieren.

Daher die Fragen:
1) Welchen statistischen Daten oder wissenschaftliche Begründungen (bitte nennen Sie exakte Zitate und Quellenangaben) im Dokument 1) belegen, dass von einer SARS-CoV-2 Infektion Genesene, ab dem Tag ihrer Infektion lediglich 90 Tage und nicht mehr 180 Tage vor einer erneuten SARS-CoV-2 Infektion geschützt sind?
2) Welchen statistischen Daten oder wissenschaftliche Begründungen (bitte nennen Sie exakte Zitate und Quellenangaben) im Dokument 2) belegen, dass von einer SARS-CoV-2 Infektion Genesene, ab dem Tag ihrer Infektion lediglich 90 Tage und nicht mehr 180 Tage vor einer erneuten SARS-CoV-2 Infektion geschützt sind?
3) Welchen statistischen Daten oder wissenschaftliche Begründungen (bitte nennen Sie exakte Zitate und Quellenangaben) im Dokument 3) belegen, dass von einer SARS-CoV-2 Infektion Genesene, ab dem Tag ihrer Infektion lediglich 90 Tage und nicht mehr 180 Tage vor einer erneuten SARS-CoV-2 Infektion geschützt sind?
4) Welche anderen statistischen Daten liegen dem RKI vor, die wissenschaftlich belegen, dass von einer SARS-CoV-2 Infektion Genesene, ab dem Tag ihrer Infektion lediglich 90 Tage und nicht mehr 180 Tage vor einer erneuten SARS-CoV-2 Infektion geschützt sind?
5) Auf exakt welchen statistischen Daten oder wissenschaftliche Begründungen (bitte nennen Sie exakte Zitate und Quellenangaben) basieren die fachlichen Vorgaben für Genesenennachweise vom 15.01.2022? 


(a) https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Genesenennachweis.html
(b) http://www.quotidianosanita.it/allegati/allegato196967.pdf
(c) https://www.gov.uk/government/publications/investigation-of-sars-cov-2-variants-technical-briefings
(d) https://www.rki.de/DE/Content/Infekt/EpidBull/Archiv/2022/Ausgaben/02_22.pdf?__blob=publicationFile","Fachliche Vorgaben für Genesenennachweise vom 15.01.2022 nach ""aktuellen Stand der medizinischen Wissenschaft"""
253509,"- den Referentenentwurf des LNG-Beschleunigungsgesetzes (LNGG)
- alle Stellungnahmen von Verbänden, Fachkreisen, Sachverständigen und weiteren Dritten entsprechend §47 Abs. 3 GGO zum LNG-Beschleunigungsgesetzes (LNGG)
- Teilnehmerlisten und Protokolle von mündlichen Anhörungen anlässlich des Entwurfs zum LNG-Beschleunigungsgesetzes (LNGG)",Entwurf und Stellungnahmen zum LNG-Beschleunigungsgesetz
32426,"Detaillierte Aufstellung der Aufwendungen für Dolmetscher bei Vernehmungen von Beschuldigten bei Straftaten seit 2000 bis heute.

Aus der Aufstellung sollen 
- die Kostenstelle (Polizeidienststelle / Vernehmungsort)
- sowie die Kosten - pro Kostenstelle - für die Übersetzungsleistung je Sprache
hervorgehen.

Gerne nehme ich die Darstellung der vorgenannten Daten auch in einfach strukturierter und relationaler Form in Textdateien, zum Beispiel im CSV-Dateiformat (bei denen Redundanzfreiheit herrscht, indem eine Datenbanktabelle einer Datei entspricht), entgegen.",Aufwendungen für Dolmetscher bei Vernehmungen Beschuldigter
181849,"Welche Verträge und/oder Vereinbarungen bestehen zwischen dem Jobcenter Friedrichshain-Kreuzberg und der Inzeit Akademie, Gabriele-Tergit-Promenade 5, 10963 Berlin und was ist deren Inhalt?

Ich bitte um Übersendung einer Kopie der Verträge und/oder Vereinbarungen.",Verträge und/oder Vereinbarungen zwischen dem Jobcenter Friedrichshain-Kreuzberg und der Inzeit Akademie
258892,"Antrag nach EU-Verordnungen 1049/2001 sowie 1367/2006

Dear Sir or Madam,
under EU regulation 1049/2001 please send to me documents that include the following information:

For all meetings of the Law Enforcement Working Party (LEWP) in 2022:
- the agenda of the meetings;
- any and all records of the meetings. This may include, but not necessarily limited to, minutes - of the meeting, verbatim reports of the meetings, outcomes of proceedings, transcripts etc, that would provide a record of the proceedings of the meetings;
- any and all documents used during the course of the meeting or produced for the purpose of the meeting. This may include, but not limited to, working papers, preparatory notes, briefings, reports, or memos.

Thank you!
Sincerely,",Documents on  Law Enforcement Working Party (LEWP) in 2022
233153,"* Schriftverkehr (E-Mails, Briefe, Fax, etc.) der mit der Änderung (Einbau Captcha, etc) an der API zur Jobbörse zusammenhängt: (unter https://api-con.arbeitsagentur.de/prod/jobboerse/jobsuche-service/pc/v2/app/jobs) 
* Gesamte Kosten und Aufgliederung dieser zum Umbau",Dokumente und Unterlagen zum Umbau der API zur Jobörse
212377,"Stundenabrechnungen der in der SKA 22/2020, Frage 23 benannten Berater für die Monate 12/2020 und 01/2021",Beratereinsatz
19175,Bitte um zusendung eine kopi fom abmelbebeschainigung .Brauche fur Deutsch konsulat in Nowosibirsk,Abmelde bescheinigung
60017,"1. Unterlagen bezüglich der Erfüllung der Aufgaben nach § 3 Abs. 1 Nr. 1 LBKG  (Aufstellen einer den örtlichen Verhältnissen entsprechenden Feuerwehr); Insbesondere Bedarfsplanungen, Fahrzeug-, Material-, Gebäude- und Personalkonzepte 
2. Alarmpläne/Alarm und Ausrückeordnung der Feuerwehr nach § 3 Abs 1 Nr. 3 LBKG",Anfrage nach LTranspG: Informationen zur Planung der Feuerwehr
226792,"Antrag nach dem IFG/UIG/VIG

Sehr geehrte Damen und Herren,

bitte senden Sie mir Folgendes zu:

Wir fragen an und bitten um Auskunft, wie bzw. ob (als Beispiel auch für ähnliche) das Urteil des Bundesverfassungsgerichtes 1 BVR 3487/14 in 2016, das – vereinfacht ausgedrückt – die Meinungsfreiheit für Tatsachenbehauptungen im Internet zulässt, mit der DSGV kollidiert. Und bitten um Angaben von Einschätzungen Ihrerseits, evtl. Überlassung bzw. Nennung von Urteilen, Beschlüssen. etc. bzw. Kopien davon, die diese Frage tangieren könnten. Bzw. – wenn es die Möglichkeit beim Ihnen gibt – eine Stellungnahme, ob hier das Datenschutz-Recht dieses (""alte"") Urteil „überdeckt“ und man sich nicht mehr auf dieses Urteil berufen darf/kann. Oder ob es seine Gültigkeit behalten hat. 

Dies ist ein Antrag auf Zugang zu amtlichen Informationen nach § 1 des Gesetzes zur Regelung des Zugangs zu Informationen des Bundes (IFG) sowie § 3 Umweltinformationsgesetz (UIG), soweit Umweltinformationen im Sinne des § 2 Abs. 3 UIG betroffen sind, sowie § 1 des Gesetzes zur Verbesserung der gesundheitsbezogenen Verbraucherinformation (VIG), soweit Informationen im Sinne des § 1 Abs. 1 VIG betroffen sind.

Sollte der Informationszugang Ihres Erachtens gebührenpflichtig sein, möchte ich Sie bitten, mir dies vorab mitzuteilen und detailliert die zu erwartenden Kosten aufzuschlüsseln. Meines Erachtens handelt es sich um eine einfache Auskunft. Gebühren fallen somit nach § 10 IFG bzw. den anderen Vorschriften nicht an. Auslagen dürfen nach BVerwG 7 C 6.15 nicht berechnet werden. Sollten Sie Gebühren veranschlagen wollen, bitte ich gemäß § 2 IFGGebV um Befreiung oder hilfweise Ermäßigung der Gebühren.

Ich verweise auf § 7 Abs. 5 IFG/§ 3 Abs. 3 Satz 2 Nr. 1 UIG/§ 4 Abs. 2 VIG und bitte Sie, mir die erbetenen Informationen so schnell wie möglich, spätestens nach Ablauf eines Monats zugänglich zu machen. Kann diese Frist nicht eingehalten werden, müssen Sie mich darüber innerhalb der Frist informieren.

Ich bitte Sie um eine Antwort per E-Mail gemäß § 1 Abs. 2 IFG. Ich widerspreche ausdrücklich der Weitergabe meiner Daten an behördenexterne Dritte. Sollten Sie meinen Antrag ablehnen wollen, bitte ich um Mitteilung der Dokumententitel und eine ausführliche Begründung.

Ich möchte Sie um eine Empfangsbestätigung bitten und danke Ihnen für Ihre Mühe!

Mit freundlichen Grüßen",Anfrage bezügl. der Gültigkeit von BVG-Urteilen aus der Vergangenheit zur Meinungsfreiheit im Internet gegenüber der Datenschutz-Grundverordnung
12317,"Alle Unterlagen den Fall ""Ahmed Mansour"" betreffend, inklusive eventueller Fach- bzw. Dienstaufsichtsverfahren in dieser Angelegenheit.",Ahmed Mansour
214515,"Antrag nach dem Informationsfreiheitsgesetz NRW, UIG NRW, VIG

Sehr geehrte Damen und Herren, 

in der Ratssitzung am 09.11.20 unter Pkt. 11.2 sowie am 14.12.2020 unter Pkt. 20.2.1 hat Herr StR Dr. Kösters mündlich die Stadtverwaltung bezüglich einer ZOOM Lizenz angefragt.

ZOOM ist ein Produkt der Zoom Video Communications, Inc.  mit Sitz in San Jose, CA, USA und unterliegt somit US Recht.

Da die USA im Thema Datenschutz als Drittland gelten, ist eine Nutzung von ZOOM ausserhalb des privaten Geltungsbereiches durch das BDSG und DSGVO untersagt.

bitte senden Sie mir Folgendes zu:

1.) Alle Dienstanweisungen, die eine Nutzung von ZOOM für den Geltungsbereich der Stadt Bergheim regeln.

2.) Alle Vereinbarungen, die eine Nutzung von ZOOM im Geltungsbereich der Stadt Bergheim legitimieren sollen

3.) Ergebnisse der ABC-Analyse zur Verwendung von Alternativprodukten für den Geltungsbereich der Stadt Bergheim

4.) Zusammenfassung der Nutzerzahlen im Geltungsbereich der Stadt Bergheim, unterteilt nach städtischen sowie externen Nutzern.



Dies ist ein Antrag nach dem Gesetz über die Freiheit des Zugangs zu Informationen für das Land Nordrhein-Westfalen (Informationsfreiheitsgesetz Nordrhein-Westfalen – IFG NRW), dem Umweltinformationsgesetz Nordrhein-Westfalen (soweit Umweltinformationen betroffen sind) und dem Verbraucherinformationsgesetz des Bundes (soweit Verbraucherinformationen betroffen sind).

Ausschlussgründe liegen meines Erachtens nicht vor.

Aus Gründen der Billigkeit und insbesondere auf Grund des Umstands, dass die Auskunft in gemeinnütziger Art der Öffentlichkeit zur Verfügung gestellt werden wird, bitte ich Sie, nach § 2 VerwGebO IFG NRW von der Erhebung von Gebühren abzusehen. Soweit Umweltinformationen betroffen sind, handelt es sich hierbei um eine einfache Anfrage nach §5 (2) UIG NRW.

Sollte die Aktenauskunft Ihres Erachtens gebührenpflichtig sein, bitte ich Sie, mir dies vorab mitzuteilen und dabei die Höhe der Kosten anzugeben. Auslagen dürfen nicht erhoben werden, da es dafür keine gesetzliche Grundlage gibt.

Ich verweise auf § 5 Abs. 2 IFG NRW, § 2 UIG NRW und bitte Sie, mir die erbetenen Informationen unverzüglich, spätestens nach Ablauf eines Monats zugänglich zu machen.

Sollten Sie für diesen Antrag nicht zuständig sein, möchte ich Sie bitten, ihn an die zuständige Behörde weiterzuleiten und mich darüber zu unterrichten. Ich widerspreche ausdrücklich der Weitergabe meiner Daten an Dritte. 

Nach §5 Abs. 1 Satz 5 IFG NRW bitte ich Sie um eine Antwort in elektronischer Form (E-Mail).
Ich möchte Sie um Empfangsbestätigung bitten und danke Ihnen für Ihre Mühe!

Mit freundlichen Grüßen",Verwendung der Videoplattform ZOOM im kommunalen Raum
